player,çam,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Tim Jones,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,8.17,14.03,90.91,0.77,17.8,132,315,
Charlie Jones,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,8.08,13.05,95.92,0.65,17.53,133,316,
Irvin Charles,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,8.73,15.23,92.96,0.63,17.1,134,318,
Justin Watson,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.46,11.62,88.78,0.51,15.17,135,322,
Devontez Walker,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.32,10.42,76.53,0.72,15.13,136,323,
Dee Eskridge,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.14,11.69,75.44,0.52,14.23,137,325,
Bo Melton,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.18,10.98,73.76,0.55,13.49,138,329,
Ben Skowronek,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.46,10.95,71.13,0.5,13.34,139,330,
Mack Hollins,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.19,10.67,75.85,0.41,13.14,140,331,
Devin Duvernay,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.98,11.25,64.58,0.49,12.89,141,333,
Xavier Weaver,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,5.12,8.45,61.3,0.48,11.57,142,337,
Steven Sims,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.88,8.52,51.85,0.34,9.33,143,343,
Trishton Jackson,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.42,5.65,40.59,0.34,7.81,144,351,
Brycen Tremayne,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.06,5.4,33.33,0.17,5.88,145,362,
Ashton Dulin,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,1.53,2.67,17.28,0.17,3.51,146,373,
Demarcus Robinson,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Trent Taylor,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Trent Sherfield,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Braxton Berrios,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Brandon Aiyuk,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Jalen Reagor,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Darnell Mooney,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Brandon Smith,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
David Sills V,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Christian Watson,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Tyquan Thornton,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Brandon Johnson,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Austin Trammell,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Jonathan Mingo,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Tank Dell,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Derius Davis,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Xavier Smith,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Xavier Gipson,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Parker Washington,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Shedrick Jackson,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Jason Brownlee,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Anthony Gould,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Javon Baker,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Mason Tipton,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Kameron Johnson,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Bub Means,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Jacob Cowing,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Bryce Ford-Wheaton,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Ryan Flournoy,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Ryan Miller,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Bryce Oliver,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
Nikko Remigio,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,147,374,
